State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Male Workers,Female Workers,Non Workers,Agricultural Workers,Household Workers,Rural Households,Urban Households,Households,LPG or PNG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Primary Education,Secondary Education,Higher Education,Graduate Education,Households with Car Jeep Van,Ownership Owned Households,Ownership Rented Households,Sex ratio,Literacy_rate
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,1240801,1123136,1278801,986208,2073356,235741,1901,20072,285,30850,640572,345636,1377729,103833,26244,335754,196179,531933,108812,220793,7607,29531,333211,143669,80296,101714,17113,349733,17010,91.0,54.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,585044,526091,1017688,66609,682,11059,144,13455,314806,211285,584815,111388,11172,239836,63452,303288,33406,136969,1392,7705,159218,63248,41227,41052,5787,202701,13298,92.0,53.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,821825,802755,1413163,97855,1274,1515,252,25843,456632,346123,741583,123469,15435,366780,88873,455653,59190,268172,4941,16560,225700,90889,58129,67155,11261,293931,27803,97.0,53.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1051446,988101,1149269,902829,1777879,249736,958,402,188,7104,541404,361425,1136718,87983,16594,344897,148996,493893,74197,231696,2577,15259,302022,161520,100677,77282,9938,338115,6521,94.0,56.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,938051,684495,1582335,45488,439,296,94,3737,398151,286344,949914,76277,17185,361084,59610,420694,35600,195277,1719,14539,235474,135234,92559,90833,6664,284497,4381,91.0,57.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,653647,552869,683098,523212,1127520,72258,688,1356,92,2739,339110,184102,683304,74342,12721,214670,58626,273296,24561,96086,1330,9504,172914,77360,45590,37856,3614,195242,4973,85.0,57.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,696532,692020,681591,641515,1340065,28662,830,240,226,16141,346624,294891,747037,184330,12514,322816,31547,354363,26351,141275,1477,11742,175059,60656,42887,39312,4385,273174,6186,99.0,49.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1043340,925828,1193343,912672,1437144,50688,2077,474853,938,1988,596320,316352,1056496,230438,13790,397697,164897,562594,88543,283142,6295,24901,314107,163098,105734,104071,21515,330298,23354,89.0,61.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,931184,843508,1034136,835260,1433067,118673,1542,216997,241,1935,512802,322458,939432,166833,13839,389059,108694,497753,55515,243163,3360,16217,273441,153628,104087,84185,16537,306363,11944,91.0,58.0
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,3468507,3157671,4300965,2464893,5819980,687452,12708,18782,1020,81079,1714947,749946,4161285,131523,91011,754841,977838,1732679,570997,990085,76565,182350,875940,659389,455527,703673,142866,1001457,127486,91.0,65.0
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,361708,308211,308653,288903,497045,168129,874,1723,98,1521,182565,106338,381016,43872,6835,159117,30830,189947,12431,43141,754,7416,71132,20142,12759,10604,5218,107832,3328,85.0,46.0
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,936634,892096,829582,896644,1732852,78990,730,231,144,14640,494906,401738,932086,158013,21867,419216,48202,467418,39745,161845,1585,12794,277152,75304,32366,25210,12367,315704,9562,95.0,45.0
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,725143,685986,739792,685950,1299751,96164,842,819,46,12488,402825,283125,725179,209772,11199,298624,63763,362387,38909,220428,1750,9403,203488,73388,46267,47985,5385,263801,15426,95.0,52.0
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,1370360,894649,1905682,228178,1004,275,56,548,541392,353257,1242396,68878,13472,500452,150357,650809,131987,297559,4828,24178,305626,256621,192240,158936,15861,371091,9196,95.0,64.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,1489741,3224399,411558,6035,4123,514,36697,965103,524638,2197424,242017,42412,584215,307442,891657,197135,408808,19335,54808,512035,259304,154789,177199,40768,574887,41870,92.0,55.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,628726,1370977,81553,602,297,70,3424,371058,257668,829522,115367,9521,305047,59308,364355,28296,132079,1059,13045,193938,104208,69443,67639,3820,256601,4524,86.0,55.0
